k, n, p, q, poverq, eigenvectors, conductance, rand
10, 1000, 0.01, 0.008, 1.25, 2, 0.8610246478079511, 0.8955220582058205
10, 1000, 0.01, 0.008, 1.25, 3, 0.6668826932102713, 0.9933182858285828
10, 1000, 0.01, 0.008, 1.25, 4, 0.6946058079495503, 0.98356499849985
10, 1000, 0.01, 0.008, 1.25, 5, 0.6687798034689992, 0.9867773777377737
10, 1000, 0.01, 0.008, 1.25, 6, 0.653019029938745, 0.9546417381738174
10, 1000, 0.01, 0.008, 1.25, 7, 0.6513746946893987, 0.926183592359236
10, 1000, 0.01, 0.008, 1.25, 8, 0.6448421615722268, 0.911363194319432
10, 1000, 0.01, 0.008, 1.25, 9, 0.6414265338700722, 0.9009061226122611
10, 1000, 0.01, 0.008, 1.25, 10, 0.6374609378096971, 0.8946392199219921
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 1, 0.9888251248402758, 0.7938775817581758
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 2, 0.878526576837889, 0.8997988618861885
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 3, 0.6695881170480822, 0.9961544614461445
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 4, 0.7291490785918929, 0.9808899729972997
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 5, 0.6918666977379322, 0.9861623802380238
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 6, 0.6853531114493685, 0.9497433403340334
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 7, 0.6472928035380346, 0.9276436943694369
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 8, 0.6416988799020481, 0.9144065766576658
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 9, 0.6474419269320757, 0.9039790939093908
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 10, 0.637548351424552, 0.8955723952395239
10, 1000, 0.01, 0.01, 1.0, 1, 0.9843867060056265, 0.7939829802980298
10, 1000, 0.01, 0.01, 1.0, 2, 0.8625682685218192, 0.9016746134613461
10, 1000, 0.01, 0.01, 1.0, 3, 0.6705970815713773, 0.9991177097709769
10, 1000, 0.01, 0.01, 1.0, 4, 0.6986363257818282, 0.9887022122212221
10, 1000, 0.01, 0.01, 1.0, 5, 0.704094229705875, 0.9894977477747775
10, 1000, 0.01, 0.01, 1.0, 6, 0.6880047488837294, 0.955359793979398
10, 1000, 0.01, 0.01, 1.0, 7, 0.6673496924767364, 0.9286161936193619
10, 1000, 0.01, 0.01, 1.0, 8, 0.6573791050692341, 0.9122090849084907
10, 1000, 0.01, 0.01, 1.0, 9, 0.6451552020937769, 0.9029517411741175
10, 1000, 0.01, 0.01, 1.0, 10, 0.6515325019705397, 0.8941417181718171
