id,k,eigs,ri,voi
14092,18,16,0.378801,3.062343
14092,18,18,0.327113,3.061778
141012,4,2,0.443616,2.348375
141012,4,3,0.368834,2.464957
141012,4,4,0.447476,2.269948
141048,7,2,0.417891,2.970244
141048,7,3,0.450172,3.007616
141048,7,4,0.482921,2.714997
141048,7,5,0.529748,2.413574
141048,7,6,0.519118,2.409520
141048,7,7,0.437640,2.785503
145059,31,2,0.144566,4.888254
145059,31,6,0.241175,3.584443
145059,31,10,0.268030,3.258664
145059,31,14,0.274646,3.227636
145059,31,18,0.265971,3.176465
145059,31,22,0.249971,3.155084
145059,31,26,0.190359,3.283124
145059,31,30,0.150950,3.351297
145059,31,31,0.153059,3.324136
145079,21,2,0.202247,3.529872
145079,21,5,0.255541,3.151032
145079,21,8,0.265017,3.043341
145079,21,11,0.238440,3.143899
145079,21,14,0.191849,3.204425
145079,21,17,0.155943,3.410296
145079,21,20,0.216053,3.172378
145079,21,21,0.147983,3.255870
146074,38,2,0.191032,4.618125
146074,38,6,0.334112,3.220610
146074,38,10,0.412644,2.809014
146074,38,14,0.462217,2.652038
146074,38,18,0.457038,2.616799
146074,38,22,0.413637,2.694112
146074,38,26,0.310344,2.831494
146074,38,30,0.328781,2.768239
146074,38,34,0.292217,2.874096
146074,38,38,0.356403,2.723873
147077,21,2,0.123122,4.694221
147077,21,5,0.228918,3.496299
147077,21,8,0.290356,3.067306
147077,21,11,0.281099,3.048564
147077,21,14,0.261848,3.059611
147077,21,17,0.183698,3.149124
147077,21,20,0.165271,3.190452
147077,21,21,0.146038,3.208798
147080,28,2,0.213625,4.136888
147080,28,5,0.276897,3.371438
147080,28,8,0.301737,3.191429
147080,28,11,0.342237,2.913290
147080,28,14,0.317956,2.907257
147080,28,17,0.307279,2.895970
147080,28,20,0.271112,3.135871
147080,28,23,0.241638,3.101627
147080,28,26,0.186617,3.205013
147080,28,28,0.179883,3.191756
15011,34,2,0.125131,4.813600
15011,34,6,0.226741,3.514519
15011,34,10,0.233788,3.452137
15011,34,14,0.225730,3.328742
15011,34,18,0.214531,3.252196
15011,34,22,0.212576,3.230450
15011,34,26,0.179373,3.271735
15011,34,30,0.171897,3.290398
15011,34,34,0.134341,3.371796
15062,16,2,0.255667,3.375326
15062,16,4,0.376196,2.598723
15062,16,6,0.429238,2.381503
15062,16,8,0.312271,2.712876
15062,16,10,0.306063,2.799974
15062,16,12,0.322045,2.645536
15062,16,14,0.279115,2.625774
15062,16,16,0.264304,2.671189
156054,44,2,0.079954,4.707567
156054,44,7,0.099390,4.024288
156054,44,12,0.102653,3.957478
156054,44,17,0.097752,3.955559
156054,44,22,0.096198,3.979320
156054,44,27,0.090509,3.998014
156054,44,32,0.077203,4.051775
156054,44,37,0.084551,4.010805
156054,44,42,0.062557,4.137854
156054,44,44,0.086276,3.978972
157032,12,2,0.276274,3.034459
157032,12,4,0.255957,2.927453
157032,12,6,0.347006,2.600666
157032,12,8,0.258933,2.638694
157032,12,10,0.195371,2.780232
157032,12,12,0.221445,2.625297
157087,28,2,0.122962,4.785633
157087,28,5,0.193701,3.901622
157087,28,8,0.222381,3.637487
157087,28,11,0.276655,3.321633
157087,28,14,0.290271,3.110423
157087,28,17,0.229351,3.218347
157087,28,20,0.218414,3.195887
157087,28,23,0.191760,3.237124
157087,28,26,0.169597,3.172146
157087,28,28,0.134416,3.221040
159002,19,2,0.073996,4.276503
159002,19,4,0.110952,3.729434
159002,19,6,0.177450,3.313721
159002,19,8,0.171955,3.339607
159002,19,10,0.178051,3.160800
159002,19,12,0.167258,3.186474
159002,19,14,0.167908,3.098941
159002,19,16,0.165836,3.102141
159002,19,18,0.135921,3.150613
159002,19,19,0.195139,3.088518
159022,7,2,0.434204,2.593127
159022,7,3,0.503539,2.199005
159022,7,4,0.475693,2.166507
159022,7,5,0.412518,2.617528
159022,7,6,0.458597,2.253847
159022,7,7,0.416783,2.536918
160006,18,2,0.147279,4.001596
160006,18,4,0.218997,3.441053
160006,18,6,0.300292,2.999005
160006,18,8,0.328839,2.823484
160006,18,10,0.277226,2.922462
160006,18,12,0.212524,3.025091
160006,18,14,0.249244,2.996212
160006,18,16,0.194680,3.096088
160006,18,18,0.176800,3.107118
16004,36,2,0.143576,4.739566
16004,36,6,0.251639,3.411791
16004,36,10,0.284378,3.209676
16004,36,14,0.314006,3.127817
16004,36,18,0.282091,3.081225
16004,36,22,0.229475,3.193056
16004,36,26,0.171105,3.229728
16004,36,30,0.178024,3.331682
16004,36,34,0.193245,3.287789
16004,36,36,0.176005,3.340570
160067,7,2,0.481290,2.655081
160067,7,3,0.565131,2.730062
160067,7,4,0.572747,2.369110
160067,7,5,0.524277,2.321006
160067,7,6,0.476243,2.429569
160067,7,7,0.521219,2.300341
16068,8,2,0.260959,2.968818
16068,8,3,0.316896,2.600554
16068,8,4,0.293160,2.634371
16068,8,5,0.305399,2.527312
16068,8,6,0.225482,2.812341
16068,8,7,0.490317,2.758170
16068,8,8,0.276043,2.644582
161045,9,2,0.383207,2.585066
161045,9,3,0.404187,2.165771
161045,9,4,0.406601,2.143088
161045,9,5,0.388998,2.118580
161045,9,6,0.502908,1.994631
161045,9,7,0.515006,1.858813
161045,9,8,0.544334,1.628531
161045,9,9,0.401382,1.903844
163004,21,2,0.153445,4.384611
163004,21,5,0.239545,3.399852
163004,21,8,0.286453,3.108247
163004,21,11,0.249565,3.062170
163004,21,14,0.193463,3.185276
163004,21,17,0.177996,3.321740
163004,21,20,0.157290,3.234537
163004,21,21,0.162860,3.189515
163096,16,2,0.195457,3.788217
163096,16,4,0.266946,3.045081
163096,16,6,0.227831,3.122916
163096,16,8,0.284465,2.822457
163096,16,10,0.249690,2.853090
163096,16,12,0.220497,2.792823
163096,16,14,0.230410,2.752417
163096,16,16,0.323891,2.550533
164046,5,2,0.399429,2.427777
164046,5,3,0.390477,2.622965
164046,5,4,0.339904,2.573258
164046,5,5,0.406800,2.118331
168084,14,2,0.179313,3.891651
168084,14,4,0.393844,2.423363
168084,14,6,0.352573,2.463056
168084,14,8,0.304252,2.539577
168084,14,10,0.367178,2.375812
168084,14,12,0.272204,2.565610
168084,14,14,0.249834,2.636586
17067,17,2,0.205447,4.047679
17067,17,4,0.342468,3.176854
17067,17,6,0.409328,2.749928
17067,17,8,0.417071,2.661754
17067,17,10,0.431615,2.563662
17067,17,12,0.424169,2.453799
17067,17,14,0.391221,2.562532
17067,17,16,0.346413,2.620280
17067,17,17,0.351605,2.569163
175083,8,2,0.323546,3.492282
175083,8,3,0.097111,3.568518
175083,8,4,0.105174,3.399555
175083,8,5,0.095798,3.301841
175083,8,6,0.086265,3.305216
175083,8,7,0.129151,3.151369
175083,8,8,0.340302,3.060805
176051,5,2,0.494495,2.309484
176051,5,3,0.512310,2.062800
176051,5,4,0.479819,2.010905
176051,5,5,0.497437,1.868300
179084,19,2,0.229781,3.258008
179084,19,4,0.254958,3.029735
179084,19,6,0.330296,2.718423
179084,19,8,0.373365,2.514855
179084,19,10,0.442134,2.402575
179084,19,12,0.289505,2.693588
179084,19,14,0.330091,2.557755
179084,19,16,0.329766,2.488506
179084,19,18,0.320575,2.518180
179084,19,19,0.292210,2.608067
181021,22,2,0.030073,4.863435
181021,22,5,0.054323,4.214191
181021,22,8,0.054348,3.996818
181021,22,11,0.317377,3.547921
181021,22,14,0.288882,3.568318
181021,22,17,0.276490,3.767170
181021,22,20,0.289262,3.561480
181021,22,22,0.283126,3.597798
183066,8,2,0.224731,3.179588
183066,8,3,0.233294,2.909592
183066,8,4,0.280127,2.674955
183066,8,5,0.326945,2.396175
183066,8,6,0.313537,2.332309
183066,8,7,0.459106,2.266901
183066,8,8,0.491163,2.208572
185092,20,2,0.217362,3.626774
185092,20,4,0.343932,2.744891
185092,20,6,0.292224,2.976282
185092,20,8,0.228576,2.812940
185092,20,10,0.246390,2.844325
185092,20,12,0.237112,2.762167
185092,20,14,0.245403,2.744760
185092,20,16,0.274228,2.755585
185092,20,18,0.270478,2.782759
185092,20,20,0.222329,2.837435
187058,22,2,0.118130,3.979969
187058,22,5,0.113787,3.772096
187058,22,8,0.121593,3.681191
187058,22,11,0.140077,3.540795
187058,22,14,0.070185,3.812011
187058,22,17,0.112362,3.741501
187058,22,20,0.044187,3.747126
187058,22,22,0.153575,3.512688
187099,29,2,0.068463,5.338487
187099,29,5,0.149332,4.026408
187099,29,8,0.169791,3.781821
187099,29,11,0.154314,3.817189
187099,29,14,0.141900,3.945695
187099,29,17,0.160493,3.731038
187099,29,20,0.158068,3.609371
187099,29,23,0.155739,3.649453
187099,29,26,0.112617,3.772325
187099,29,29,0.117355,3.745069
188025,42,2,0.104699,4.659092
188025,42,7,0.114755,4.114843
188025,42,12,0.147925,3.742825
188025,42,17,0.148924,3.703722
188025,42,22,0.143840,3.681136
188025,42,27,0.140423,3.603350
188025,42,32,0.137539,3.551063
188025,42,37,0.158469,3.477512
188025,42,42,0.144830,3.455520
189006,33,2,0.152836,4.411392
189006,33,6,0.184039,3.542654
189006,33,10,0.189911,3.336855
189006,33,14,0.188099,3.256882
189006,33,18,0.153745,3.283691
189006,33,22,0.217379,3.068097
189006,33,26,0.169523,3.206304
189006,33,30,0.113693,3.348553
189006,33,33,0.158370,3.210147
189013,23,2,0.132424,4.220261
189013,23,5,0.200216,3.399112
189013,23,8,0.270251,2.944258
189013,23,11,0.276521,2.867446
189013,23,14,0.230556,2.935952
189013,23,17,0.241213,2.853379
189013,23,20,0.278753,2.866196
189013,23,23,0.220500,2.921274
189029,22,2,0.189338,4.141981
189029,22,5,0.313654,2.930642
189029,22,8,0.334698,2.854793
189029,22,11,0.238565,2.923099
189029,22,14,0.303614,2.824269
189029,22,17,0.204253,2.905477
189029,22,20,0.181109,2.907336
189029,22,22,0.183635,2.838330
189096,25,2,0.201508,4.234378
189096,25,5,0.254738,3.459897
189096,25,8,0.267333,3.273395
189096,25,11,0.268957,3.269687
189096,25,14,0.281641,3.036867
189096,25,17,0.166897,3.349425
189096,25,20,0.166586,3.286655
189096,25,23,0.114272,3.488448
189096,25,25,0.173832,3.340358
196027,8,2,0.406497,2.915210
196027,8,3,0.428384,2.641473
196027,8,4,0.445472,2.668665
196027,8,5,0.460178,2.516644
196027,8,6,0.480376,2.317207
196027,8,7,0.453378,2.430005
196027,8,8,0.454274,2.424889
196040,56,2,0.074929,5.552945
196040,56,8,0.152024,3.933918
196040,56,14,0.181068,3.674176
196040,56,20,0.157973,3.768175
196040,56,26,0.152423,3.799147
196040,56,32,0.143439,3.912817
196040,56,38,0.133602,3.883008
196040,56,44,0.115445,3.965353
196040,56,50,0.116890,3.977862
196040,56,56,0.105624,4.025040
196062,8,2,0.234697,3.312970
196062,8,3,0.344258,2.910616
196062,8,4,0.354206,2.724034
196062,8,5,0.367405,2.747139
196062,8,6,0.341431,2.792423
196062,8,7,0.341476,2.886066
196062,8,8,0.367768,2.624488
196088,11,2,0.149166,3.785873
196088,11,4,0.184162,3.155749
196088,11,6,0.441044,2.930659
196088,11,8,0.471346,3.067119
196088,11,10,0.420065,3.294983
196088,11,11,0.375316,3.115325
198087,60,2,0.140800,4.579475
198087,60,8,0.238111,3.268839
198087,60,14,0.222597,3.332186
198087,60,20,0.287734,3.050389
198087,60,26,0.251747,3.141090
198087,60,32,0.257899,3.099395
198087,60,38,0.202278,3.188449
198087,60,44,0.147120,3.427061
198087,60,50,0.176488,3.310012
198087,60,56,0.166328,3.338410
198087,60,60,0.143985,3.379005
20069,15,2,0.197506,3.794478
20069,15,4,0.240702,3.307500
20069,15,6,0.263299,3.113431
20069,15,8,0.210424,3.167412
20069,15,10,0.203522,2.956841
20069,15,12,0.201214,2.942306
20069,15,14,0.195298,2.830515
20069,15,15,0.191633,2.903571
201080,19,2,0.344823,3.322436
201080,19,4,0.257960,3.142428
201080,19,6,0.246510,3.114444
201080,19,8,0.265149,2.665920
201080,19,10,0.273508,2.672635
201080,19,12,0.293390,2.491373
201080,19,14,0.269873,2.599978
201080,19,16,0.242571,2.684569
201080,19,18,0.302184,2.787385
